,0,1
43,2020-01-13,12.16%
44,2020-01-06,-2.68%
0,2019-12-30,
1,2020-11-09,13.32%
2,2020-11-02,2.0%
3,2020-10-26,-7.05%
4,2020-10-19,4.88%
5,2020-10-12,-7.59%
6,2020-10-05,7.05%
7,2020-09-28,3.57%
8,2020-09-21,-13.66%
9,2020-09-14,-5.91%
10,2020-09-07,7.12%
11,2020-08-31,4.97%
12,2020-08-24,-2.4%
13,2020-08-17,-9.57%
14,2020-08-10,-0.39%
15,2020-08-03,3.09%
16,2020-07-27,9.98%
17,2020-07-20,4.21%
18,2020-07-13,-11.11%
19,2020-07-06,-1.67%
20,2020-06-29,6.76%
21,2020-06-22,-9.45%
22,2020-06-15,6.02%
